Transaction Date,Total amount Withdrawn,Weekday,Festival Religion,Working Day,Holiday Sequence
2012-10-22,174100,3,4,0,1
2012-10-23,278600,5,1,0,4
2012-10-24,221600,6,1,0,1
2012-10-25,226400,6,1,0,1
2012-10-26,297100,6,1,0,1
2012-10-27,148600,2,2,0,4
2012-10-28,185600,3,4,0,1
2012-10-29,157300,3,4,0,1
2012-10-30,150400,3,4,0,1
2012-10-31,231300,3,4,0,1
2012-11-01,353300,3,4,0,1
2012-11-02,330100,3,4,0,1
2012-11-03,318300,2,4,0,4
2012-11-04,242300,3,4,0,1
2012-11-05,394100,3,4,0,1
2012-11-06,300200,3,4,0,1
2012-11-07,392100,3,4,0,1
2012-11-08,302800,3,4,0,1
2012-11-09,318100,3,4,0,1
2012-11-10,491800,2,4,0,4
2012-11-11,466800,3,4,0,1
2012-11-12,451200,3,4,0,1
2012-11-13,374200,5,1,0,5
2012-11-14,185500,5,1,0,5
2012-11-15,246100,5,1,0,5
2012-11-16,346900,5,1,0,5
2012-11-17,232400,2,4,0,4
2012-11-19,332800,3,4,0,1
2012-11-20,277800,3,4,0,1
2012-11-21,286200,3,4,0,1
2012-11-22,234400,3,4,0,1
2012-11-23,261500,3,4,0,1
2012-11-24,252200,2,4,0,4
2012-11-25,212700,3,2,0,1
2012-11-26,290600,3,2,0,1
2012-11-27,272400,3,2,0,1
2012-11-28,153100,3,2,0,1
2012-11-29,288100,3,2,0,1
2012-11-30,340700,3,2,0,1
2012-12-01,433100,2,4,0,4
2012-12-02,432600,3,4,0,1
2012-12-03,398200,3,4,0,1
2012-12-04,446000,3,4,0,1
2012-12-05,383800,3,4,0,1
2012-12-06,268300,3,4,0,1
2012-12-07,369100,3,4,0,1
2012-12-08,362300,2,4,0,4
2012-12-09,327800,3,4,0,1
2012-12-10,300700,3,4,0,1
2012-12-11,325300,3,4,0,1
2012-12-12,366200,3,4,0,1
2012-12-13,338800,3,4,0,1
2012-12-14,308600,3,4,0,1
2012-12-15,406200,2,4,0,4
2012-12-16,349100,3,4,0,1
2012-12-17,291300,3,4,0,1
2012-12-18,241900,3,4,0,1
2012-12-19,226200,3,4,0,1
2012-12-20,287200,3,4,0,1
2012-12-21,304600,3,4,0,1
2012-12-22,436000,2,4,0,4
2012-12-23,220700,3,4,0,1
2012-12-24,363900,3,4,0,1
2012-12-25,235400,5,0,0,5
2012-12-26,210800,5,0,0,5
2012-12-27,343200,5,0,0,5
2012-12-28,468700,5,0,0,5
2012-12-29,264300,2,4,0,4
2012-12-30,376000,3,4,0,1
2012-12-31,364300,3,4,0,1
2013-01-01,429200,5,0,0,5
2013-01-02,401000,6,4,1,3
2013-01-03,314800,4,4,1,7
2013-01-04,356900,0,4,1,4
2013-01-05,148800,2,4,0,1
